"","RadolanGT10mm","RadolanSum","RadolanMax","K_factor","L_factor","S_factor","NDVI","Erosion_class","Phase","Eroding"
"1",2,474,325,0.468080676,2.060310154,1.148482385,0.307115942239761,"1",12,"Eroded"
"2",2,474,325,0.292739048,1.130272464,0.322441824,0.275310456752777,"1",12,"Eroded"
"3",0,201,87,0.550000012,1.031663999,0.321072414,0.284987881779671,"0",12,"Non-eroded"
"4",0,203.5,90.5,0.516196552,2.160501365,0.787071455,0.410170137882233,"0",12,"Non-eroded"
"5",0,209,82,0.528669074,2.507830694,0.694920974,0.349389493465424,"3",12,"Eroded"
"6",0,201,87,0.400000006,3.393746414,0.600126485,0.486081391572952,"2",12,"Eroded"
"7",0,229,90,0.473514542,2.243198485,1.955658408,0.224302023649216,"0",10,"Non-eroded"
"8",0,209,63,0.550000012,2.373194155,0.60406827,0.671065747737885,"1",10,"Eroded"
"9",1,258,112,0.548953836,2.81510967,2.111799477,0.208541601896286,"3",10,"Eroded"
"10",0,31,18,0.300000012,2.412566319,0.676658158,0.712330996990204,"0",12,"Non-eroded"
"11",0,31,18,0.349999994,2.07563803,0.690667991,0.497996956110001,"0",12,"Non-eroded"
"12",0,23,11,0.292763168,2.552961534,0.635966422,0.672975093126297,"0",12,"Non-eroded"
"13",1,152,123,0.349999994,0.467767768,0.150357848,0.39884540438652,"0",12,"Non-eroded"
"14",1,152,123,0.356967481,1.581866623,0.354032185,0.380279958248138,"0",12,"Non-eroded"
"15",1,152,123,0.349999994,2.249140248,0.488494419,0.276655048131943,"2",12,"Eroded"
"16",1,138,103,0.30814467,0.916346215,0.208600445,0.527252852916718,"1",12,"Eroded"
"17",0,106,91,0.25,3.046999748,1.00786081,0.37107527256012,"3",12,"Eroded"
"18",1,173,149,0.298047144,2.505866761,1.105999965,0.770889759063721,"2",12,"Eroded"
"19",1,191,167,0.25,2.043444342,0.775044151,0.200129970908165,"3",12,"Eroded"
"20",1,187,165.5,0.253888094,2.658526858,1.894298934,0.472674757242203,"3",12,"Eroded"
"21",1,177.5,153.5,0.29361956,2.253248442,0.4503283,0.443181753158569,"2",12,"Eroded"
"22",1,173,149,0.299313355,2.591309614,0.687256681,0.584625840187073,"3",12,"Eroded"
"23",1,191,167,0.249638834,2.973819278,0.8924173,0.27350727468729,"3",12,"Eroded"
"24",0,106,91,0.249389055,2.803496111,2.188902683,0.427885957062245,"3",12,"Eroded"
"25",0,106,91,0.25002657,2.75348309,1.34477526,0.384853437542915,"0",12,"Non-eroded"
"26",0,106,91,0.25,2.269339314,1.162696133,0.301684767007828,"3",12,"Eroded"
"27",0,65,36,0.217251622,1.185886607,0.248348587,0.606486737728119,"1",12,"Eroded"
"28",1,219,195,0.200000003,2.975711423,0.687462884,0.636178553104401,"1",12,"Eroded"
"29",1,191,167,0.209536085,4.092262585,1.315238052,0.511914536356926,"3",12,"Eroded"
"30",1,183,160,0.262781958,4.727008543,1.160693383,0.51221889257431,"2",12,"Eroded"
"31",1,202,181,0.25,2.300210981,0.715327049,0.40517383813858,"2",12,"Eroded"
"32",1,219,195,0.250017384,2.647162784,0.96178165,0.512933135032654,"3",12,"Eroded"
"33",1,223,204,0.25010846,2.465021693,0.858346272,0.417407095432281,"3",12,"Eroded"
"34",1,183,160,0.246823205,3.431410912,0.707165111,0.45614692568779,"2",12,"Eroded"
"35",1,219,195,0.212728382,3.275893418,1.297506296,0.518106162548065,"3",12,"Eroded"
"36",1,186.5,161,0.242410016,2.586575948,1.194219377,0.496403515338898,"2",12,"Eroded"
"37",1,223,204,0.25,2.738992535,0.71735681,0.474459141492844,"2",12,"Eroded"
"38",1,183,160,0.25212766,4.753753713,1.157585634,0.482224375009537,"3",12,"Eroded"
"39",1,191,167,0.219302924,5.718302136,1.09777826,0.462451010942459,"3",12,"Eroded"
"40",1,183,160,0.25,3.844357701,0.880498303,0.573184847831726,"2",12,"Eroded"
"41",1,182,155,0.26073647,2.270761588,1.784362408,0.420080557465553,"3",12,"Eroded"
"42",1,191,167,0.200000003,4.259764014,2.084915617,0.513044983148575,"3",12,"Eroded"
"43",1,182,155,0.260328133,2.333849383,0.418264796,0.568115502595901,"2",12,"Eroded"
"44",1,202,181,0.251123595,3.657635953,0.789747742,0.221044331789017,"3",12,"Eroded"
"45",1,183,160,0.253233831,1.691644555,0.335845955,0.299584940075874,"2",12,"Eroded"
"46",1,202,181,0.25,3.369447827,0.991920845,0.415544390678406,"2",12,"Eroded"
"47",1,191,167,0.208788776,3.659688606,1.923139318,0.520825564861298,"3",12,"Eroded"
"48",1,220,198,0.258238939,3.568911197,1.142351228,0.620076477527618,"3",12,"Eroded"
"49",0,65,36,0.212123359,2.013026693,0.395319588,0.330350562930107,"2",12,"Eroded"
"50",0,65,36,0.212740682,2.654886112,0.58551629,0.659969955682755,"3",12,"Eroded"
"51",1,138,112,0.238067228,2.67902521,0.607185604,0.370543152093887,"2",12,"Eroded"
"52",1,173,149,0.32669883,1.110133145,0.48450106,0.734387934207916,"2",12,"Eroded"
"53",1,205.5,182.5,0.21401604,2.955950888,1.075813946,0.591374903917313,"3",12,"Eroded"
"54",1,182,155,0.31050119,2.901872315,0.581378853,0.562442362308502,"3",12,"Eroded"
"55",1,202,181,0.25,2.839862335,0.593580339,0.180975161492825,"3",12,"Eroded"
"56",1,138,112,0.400000006,2.337199185,0.397217053,0.283239245414734,"2",12,"Eroded"
"57",1,138,112,0.376900413,1.45947849,0.282194062,0.474820852279663,"2",12,"Eroded"
"58",1,138,112,0.349999994,1.938413063,0.413299171,0.306161493062973,"2",12,"Eroded"
"59",1,138,103,0.400000006,1.491957012,0.488489165,0.246754564344883,"2",12,"Eroded"
"60",1,138,112,0.353578855,2.025457759,0.460264159,0.214734554290771,"1",12,"Eroded"
"61",0.5,119.5,89,0.374602549,1.583767884,0.299070351,0.258746773004532,"1",12,"Eroded"
"62",1,173,149,0.300000012,3.420861271,0.640223102,0.341272175312042,"2",12,"Eroded"
"63",1,420,316,0.241723764,1.732958489,0.75713726,0.271472275257111,"0",12,"Non-eroded"
"64",1,315,197,0.263669305,2.266730895,0.903204614,0.363070547580719,"2",12,"Eroded"
"65",1,311,258,0.150000006,2.22578446,0.499780335,0.539152249693871,"1",12,"Eroded"
"66",1,311,258,0.199421968,1.962658959,0.982735086,0.366723597049713,"3",12,"Eroded"
"67",1,447,363,0.200160389,1.68811043,0.507827046,0.471186131238937,"2",12,"Eroded"
"68",1,473,380,0.151507788,1.291737354,0.35649137,0.629713401198387,"1",12,"Eroded"
"69",2,546,393,0.194073739,2.11136107,1.221590237,0.48869851231575,"2",12,"Eroded"
"70",2,504,341.5,0.18058152,2.712732604,0.705227076,0.446206092834473,"1",34,"Eroded"
"71",1,311,258,0.176909722,1.131300312,0.378035229,0.706098139286041,"0",12,"Non-eroded"
"72",1,469,425,0.181194564,2.152780601,0.686794618,0.456356167793274,"3",12,"Eroded"
"73",1,447,363,0.163865551,2.374055675,0.908399471,0.446909457445145,"3",12,"Eroded"
"74",1,469,425,0.155389227,1.790175495,0.428074058,0.456379652023315,"2",12,"Eroded"
"75",1,458,394,0.200000003,1.775457836,0.438147314,0.501683443784714,"2",12,"Eroded"
"76",1,473,380,0.155239931,2.393632049,1.323610287,0.348675221204758,"1",12,"Eroded"
"77",1,473,380,0.144747913,2.096815205,0.801235971,0.538316249847412,"2",12,"Eroded"
"78",1,311,258,0.192698774,1.65624385,0.38795589,0.510724365711212,"1",12,"Eroded"
"79",1,511,394,0.222970087,2.777027777,0.995925785,0.507300436496735,"3",12,"Eroded"
"80",1,496,353,0.159146044,2.060548836,0.88766808,0.214889392256737,"3",12,"Eroded"
"81",1,469,425,0.198594525,2.024595587,0.51706138,0.396178796887398,"1",12,"Eroded"
"82",1,469,425,0.200000003,1.7587277,0.642374456,0.398217916488647,"2",12,"Eroded"
"83",2,580,429,0.223064118,2.454136553,0.794863549,0.561267584562302,"1",12,"Eroded"
"84",2,627,417,0.355350986,1.662825086,0.388966367,0.555255800485611,"0",12,"Non-eroded"
"85",2,643.5,449.5,0.246761454,2.210774092,1.076211431,0.308382749557495,"3",12,"Eroded"
"86",2,660,482,0.200000003,1.775368962,0.492187888,0.347750455141068,"1",12,"Eroded"
"87",2,627,436,0.237691007,1.578967458,0.374489908,0.397368133068085,"1",12,"Eroded"
"88",2,627,417,0.276785724,1.507441962,0.338578467,0.468422681093216,"1",12,"Eroded"
"89",2,627,467,0.253940073,2.374426193,0.590596618,0.225300475955009,"3",12,"Eroded"
"90",2,627,467,0.273088788,1.835796546,0.379224218,0.202073432505131,"2",12,"Eroded"
"91",2,627,417,0.239776537,2.270785475,0.878252701,0.391660869121552,"3",12,"Eroded"
"92",2,627,436,0.200000003,1.336857652,0.244313445,0.206065535545349,"1",12,"Eroded"
"93",1,313,101,0.325925936,1.954362139,0.809195967,0.906487345695496,"0",67,"Non-eroded"
"94",0.5,306,94.5,0.300000012,3.245232742,0.792212372,0.866633921861649,"2",67,"Eroded"
"95",1,307,106,0.284871583,2.845966696,1.330718013,0.673343241214752,"1",67,"Eroded"
"96",1,307,106,0.308000006,3.424698046,1.447797747,0.789808928966522,"1",67,"Eroded"
"97",1,296,130,0.300000012,2.995492553,2.007104543,0.637752920389175,"0",67,"Non-eroded"
"98",1,330,122,0.34742063,2.354241074,1.084295257,0.827512741088867,"0",67,"Non-eroded"
"99",1,250,122,0.277534564,3.150701232,0.867554464,0.388350248336792,"0",67,"Non-eroded"
"100",1,330,122,0.349999994,2.602962687,1.089153742,0.855743765830994,"1",67,"Eroded"
"101",1,296,130,0.299695862,3.192888768,1.352217253,0.856908828020096,"3",67,"Eroded"
"102",0,267,92,0.339955353,2.506756378,1.472241002,0.887403905391693,"1",67,"Eroded"
"103",1,302,105,0.300000012,4.055736701,1.478759653,0.942641347646713,"0",67,"Non-eroded"
"104",2,604,210,0.300000012,2.545105573,1.312492155,0.736569583415985,"1",67,"Eroded"
"105",0,330,98,0.300000012,2.38351806,1.001539244,0.981328696012497,"1",67,"Eroded"
"106",0,267,92,0.300000012,3.769954106,1.970245069,0.85260671377182,"1",67,"Eroded"
"107",1,501,416,0.301966539,3.522365772,1.834505848,0.188502855598927,"2",12,"Eroded"
"108",1,382,293,0.301914833,2.516503007,0.826180988,-0.008268302539364,"2",12,"Eroded"
"109",1,379,264,0.219009011,2.146900901,1.512859871,0.030703136697412,"3",12,"Eroded"
"110",1,441,366,0.322584739,3.63746348,1.074929461,0.19471387565136,"2",12,"Eroded"
"111",1,337,237,0.296019203,3.016301524,1.292517772,-0.069926343858242,"3",12,"Eroded"
"112",2,852,592,0.287725501,2.678542747,1.214074104,0.157903008162975,"3",12,"Eroded"
"113",1,496,307,0.195065793,1.830928947,1.282454143,0.253367409110069,"3",12,"Eroded"
"114",1,426,296,0.303125011,3.246070655,0.996854126,0.084050446748734,"3",12,"Eroded"
"115",1,496,307,0.183743594,2.871808204,1.080028187,0.230971805751324,"3",12,"Eroded"
"116",1,315,189,0.393456931,3.564189745,0.594229893,0.131317228078842,"1",12,"Eroded"
"117",4,1122,756,0.199684179,3.35393102,1.620996116,0.227258563041687,"2",12,"Eroded"
"118",1,395,236,0.276507542,4.804247483,1.216579319,0.302464097738266,"3",12,"Eroded"
"119",1,426,296,0.306682015,1.896278494,1.651906012,0.128327421844006,"3",12,"Eroded"
"120",1,496,307,0.200000003,2.237478221,0.607792234,0.190129786729813,"2",12,"Eroded"
"121",1,379,264,0.194293872,2.71240585,0.902317903,0.081709444522858,"1",12,"Eroded"
"122",2,375,185,0.266067554,3.694970256,0.912374833,0.250711143016815,"3",12,"Eroded"
"123",2,375,185,0.302947933,2.386055988,1.633989067,0.387271210551262,"1",12,"Eroded"
"124",2,790,472,0.286319621,2.708940076,0.682360043,0.255239635705948,"2",12,"Eroded"
"125",1,426,296,0.300044143,3.677987645,1.217319768,0.305447369813919,"3",12,"Eroded"
"126",2,635,381,0.258980585,3.503854373,1.259562804,0.207016743719578,"3",12,"Eroded"
"127",2,633,409,0.178243025,2.15548421,1.10419551,0.5040243268013,"3",12,"Eroded"
"128",2,546,256,0.23978692,2.435099298,1.867286001,0.643856763839722,"1",12,"Eroded"
"129",2,546,294,0.342689,2.922770239,1.857664165,0.56061452627182,"3",12,"Eroded"
"130",1,398,165,0.304670302,2.548081421,1.8401883,0.866236686706543,"1",48.6666666666667,"Eroded"
"131",1,398,165,0.550000012,2.167448966,0.787171146,0.774299561977386,"1",12,"Eroded"
"132",2,497,249,0.550000012,2.463673634,0.59885887,0.694865763187408,"2",39.5,"Eroded"
"133",1,480,263,0.546089912,2.53511484,0.794009127,0.283629894256592,"0",12,"Non-eroded"
"134",2,394,135,0.526379888,1.951868961,0.557883096,0.804456114768982,"1",67,"Eroded"
"135",2,480,249,0.550000012,2.59971544,0.724055094,0.711493968963623,"2",30.3333333333333,"Eroded"
"136",1,482,298,0.550000012,2.231000001,0.810293899,0.718897759914398,"2",12,"Eroded"
"137",1,480,263,0.546754978,2.217064902,0.812411249,0.759062528610229,"1",12,"Eroded"
"138",1,328,230,0.339223727,2.092223241,1.1826319,0.229669407010078,"0",19,"Non-eroded"
"139",1,381.5,153,0.452804599,2.488214973,1.041526876,0.922898292541504,"1",23,"Eroded"
"140",1,398,165,0.550000012,2.216483954,0.951327818,0.836890935897827,"1",12,"Eroded"
"141",1,398,165,0.407718639,2.167425852,1.126453938,0.580905139446259,"1",23,"Eroded"
"142",1,335,230.5,0.384923444,1.943204357,0.77967418,0.21541403234005,"0",19,"Non-eroded"
"143",2,507,258,0.433333337,2.237217025,1.883959885,0.596955120563507,"3",67,"Eroded"
"144",2,507,258,0.414057148,2.722212568,1.319650254,0.730097830295563,"2",67,"Eroded"
"145",2,531,307,0.299773426,2.329538402,0.902896155,0.069722138345242,"2",12,"Eroded"
"146",2,440,223,0.305038552,2.746504167,1.459282396,0.218575365841389,"3",12,"Eroded"
"147",2,689,381,0.299922261,2.700901116,2.146683557,0.268123418092728,"2",12,"Eroded"
"148",2,689,381,0.203239439,2.783635933,2.401225685,0.269938692450523,"1",12,"Eroded"
"149",1,327,163,0.363134165,2.321063136,2.102217339,0.290930762887001,"3",12,"Eroded"
"150",2,597,380,0.300000012,2.092777569,0.801034126,0.453999556601048,"2",12,"Eroded"
"151",1,438,269,0.236420708,2.975779352,2.209110095,0.358546286821365,"3",12,"Eroded"
"152",1,438,269,0.302883695,3.820504295,2.181487884,0.486759945750237,"3",12,"Eroded"
"153",1,438,269,0.249897619,2.357573811,2.931349966,0.459692239761353,"3",12,"Eroded"
"154",1,438,269,0.204168025,2.914869626,2.829038967,0.460959911346436,"2",12,"Eroded"
"155",1,580,412,0.292102149,3.347247033,1.513522756,0.315539628267288,"1",12,"Eroded"
"156",1,377,324,0.350058749,2.183689778,0.544010339,0.622260928153992,"2",10,"Eroded"
"157",1,358,298,0.306446818,1.709023403,0.521645014,0.446123361587524,"2",10,"Eroded"
"158",1,340,276,0.300000012,2.031331025,1.515187833,0.411597535014153,"3",10,"Eroded"
"159",1,377,324,0.298405209,1.825151108,0.45444587,0.363533049821854,"1",10,"Eroded"
"160",1,425,288,0.259363716,2.037719557,2.491764821,-0.11883707344532,"3",12,"Eroded"
"161",1,580,412,0.299974122,2.056048542,1.321355837,-0.005464202724397,"2",12,"Eroded"
"162",1,336,203,0.254775032,2.430117082,1.369700144,0.152368649840355,"2",12,"Eroded"
"163",1,354,267,0.279842113,2.080259589,1.629696725,0.287184998393059,"2",12,"Eroded"
"164",1,375,287,0.29924439,2.25023111,0.785258541,0.202248990535736,"1",12,"Eroded"
"165",1,375,287,0.300000012,2.384364918,0.875711006,0.209123834967613,"2",12,"Eroded"
"166",1,373,243,0.299207199,3.375174828,1.739626816,0.655081629753113,"1",67,"Eroded"
"167",1,414,249,0.256025062,3.272674008,2.607044839,0.828308314085007,"0",67,"Non-eroded"
"168",4,1912,960,0.400000006,2.460041139,1.873501553,0.585242599248886,"0",12,"Non-eroded"
"169",4,1352,512,0.326993437,3.435559227,1.406292032,0.477430492639542,"2",12,"Eroded"
"170",8,1772,604,0.25045789,2.706640856,1.805953306,0.594309836626053,"1",12,"Eroded"
"171",4,1940,824,0.25697202,2.524824374,1.70950201,0.388055503368378,"3",12,"Eroded"
"172",2,348,258,0.349039775,2.074838134,0.867841159,0.797451674938202,"0",67,"Non-eroded"
"173",4,519,261.5,0.301672011,2.140115151,1.890055294,0.788147881627083,"0",67,"Non-eroded"
"174",4,502,238,0.326869809,2.916348191,1.157961386,0.829169124364852,"0",67,"Non-eroded"
"175",4,520,242,0.333856578,1.792353883,1.753631833,0.609700798988342,"0",67,"Non-eroded"
"176",4,522,258,0.300000012,2.510557524,1.854843285,0.633684694766998,"0",67,"Non-eroded"
"177",4,520,242,0.300000012,1.968850744,0.827308736,0.616563439369202,"0",67,"Non-eroded"
"178",4,522,258,0.300000012,2.379802593,0.825002705,0.733659327030182,"0",67,"Non-eroded"
"179",2,344,194,0.430804475,3.016623422,1.202206253,0.693205267190933,"1",12,"Eroded"
"180",2,344,194,0.471311985,2.351279973,0.614967179,0.629984438419342,"3",12,"Eroded"
"181",1,299,265.5,0.438516594,2.07864281,1.008013584,0.557466506958008,"3",67,"Eroded"
"182",1,395,362,0.495857806,2.800899847,0.739067008,0.592889368534088,"3",67,"Eroded"
"183",1,280,248,0.466037658,2.532085167,1.052864186,0.585977613925934,"3",67,"Eroded"
"184",1,363,328,0.472384879,2.049376805,0.797635784,0.843436717987061,"3",67,"Eroded"
"185",1,363,328,0.51136784,1.810045471,0.89486869,0.756678521633148,"3",67,"Eroded"
"186",1,331,299,0.447768992,2.571620412,1.201945807,0.725057870149612,"3",67,"Eroded"
"187",2,367,236,0.509421334,2.229032686,0.484158202,0.526176512241364,"0",67,"Non-eroded"
"188",2,367,236,0.500042517,1.613698977,0.381108036,0.558670163154602,"0",67,"Non-eroded"
"189",2,376,240,0.400000006,0.593609512,0.172367514,0.690852582454681,"0",67,"Non-eroded"
"190",2,368,238.5,0.547787126,2.641510364,0.558012836,0.53012090921402,"0",67,"Non-eroded"
"191",2,376,240,0.463393942,1.459936969,0.919063592,0.700781464576721,"0",67,"Non-eroded"
"192",2,376,240,0.499365583,0.808817206,0.207341772,0.668688118457794,"0",67,"Non-eroded"
"193",2,346,204,0.446173973,2.474295617,0.583462782,0.621300578117371,"1",67,"Eroded"
"194",2,401,270,0.499488189,0.446907084,0.18240051,0.802159905433655,"0",67,"Non-eroded"
"195",2,376,240,0.5,0.749186465,0.22733652,0.685021370649338,"0",67,"Non-eroded"
"196",2,342,204.5,0.458740502,2.1825114,0.825322884,0.62697446346283,"0",67,"Non-eroded"
"197",0,153,83,0.537788171,2.769952647,0.607470102,0.575335443019867,"1",67,"Eroded"
"198",0,151,73,0.465541713,2.667816543,1.503400805,0.632163316011429,"2",67,"Eroded"
"199",2,284,147,0.485939372,2.821269857,0.959792543,0.708442196249962,"0",67,"Non-eroded"
"200",2,378,254,0.339741713,2.731222169,0.609722218,0.616576671600342,"3",67,"Eroded"
"201",2,372.5,247.5,0.496864452,3.047985259,0.892153917,0.619155764579773,"3",67,"Eroded"
"202",1,337,222,0.320096002,3.870630136,1.566455392,0.643176198005676,"2",67,"Eroded"
"203",2,301,159,0.491079366,3.057916509,0.82541337,0.824356853961945,"2",12,"Eroded"
"204",2,301,159,0.532915069,2.178494202,0.937032659,0.862988173961639,"2",12,"Eroded"
"205",2,315,175,0.482318113,2.565263111,0.842594382,0.624985814094543,"3",12,"Eroded"
"206",2,307,155,0.513947913,3.859448942,0.977746174,0.420588940382004,"2",12,"Eroded"
"207",4,614,310,0.494384769,2.666858397,0.95581813,0.491602957248688,"1",12,"Eroded"
"208",2,319,175,0.500715043,3.129863638,1.386993135,0.639526665210724,"2",12,"Eroded"
"209",2,319,170,0.499621212,2.134977275,1.445187896,0.41823735833168,"1",12,"Eroded"
"210",2,321,167,0.50277455,2.597851248,0.881299905,0.400087505578995,"3",12,"Eroded"
"211",2,301,159,0.550000012,2.498784563,0.910704629,0.820479094982147,"0",12,"Non-eroded"
"212",2,297,164,0.549045191,2.94617187,0.665239133,0.722695261240005,"0",12,"Non-eroded"
"213",2,297,164,0.397821986,2.70837951,0.926175714,0.778848171234131,"1",12,"Eroded"
"214",2,315,175,0.545440262,2.084988992,0.497401212,0.501981347799301,"1",12,"Eroded"
"215",2,305.5,160.5,0.464977632,2.951196705,1.111814787,0.608849972486496,"1",12,"Eroded"
"216",2,304,162,0.422702707,2.379754957,0.842581776,0.521925508975983,"0",12,"Non-eroded"
"217",2,315,175,0.444427171,2.664600131,0.853654661,0.493198499083519,"2",12,"Eroded"
"218",2,319,170,0.486994299,2.852297041,0.801582225,0.570003718137741,"2",12,"Eroded"
"219",2,315,175,0.521322075,2.847717686,0.711727177,0.75352931022644,"1",12,"Eroded"
"220",1,283,133,0.472145671,1.718396653,0.835613927,0.183804050087929,"2",12,"Eroded"
"221",2,275,154,0.301669934,0.337250649,0.158581846,0.450885832309723,"0",12,"Non-eroded"
"222",2,278,154,0.499823899,2.585072455,0.65659359,0.616265296936035,"2",12,"Eroded"
"223",2,275,154,0.5,2.387670389,0.632926614,0.798097759485245,"1",12,"Eroded"
"224",2,275,154,0.301501295,0.363624462,0.14047296,0.584854871034622,"0",12,"Non-eroded"
"225",1,283,148,0.494196429,2.255886673,0.836101385,0.200297355651855,"1",12,"Eroded"
"226",1,253,115,0.497386134,2.849042405,0.705959417,0.191915646195412,"2",12,"Eroded"
"227",1,283,148,0.496976448,2.827719291,1.830174834,0.223050475120544,"1",12,"Eroded"
"228",1,286.5,143,0.5,2.276615288,1.437502364,0.207072123885155,"1",12,"Eroded"
"229",1,283,133,0.400000006,2.15280664,1.081264817,0.189679756760597,"3",12,"Eroded"
"230",2,290,169,0.459473969,0.277015028,0.115885674,0.45989990234375,"0",12,"Non-eroded"
"231",2,287.5,167,0.411599863,0.404533521,0.168875475,0.450700804591179,"0",12,"Non-eroded"
"232",2,287.5,167,0.359715477,0.291059332,0.127803049,0.437347158789635,"0",12,"Non-eroded"
"233",2,268.5,139,0.500124417,2.81875718,0.551647615,0.258614063262939,"2",12,"Eroded"
"234",2,290,169,0.455698425,0.456397426,0.151287871,0.478383049368858,"0",12,"Non-eroded"
"235",1,253,115,0.499209968,2.455112597,1.002402935,0.167818948626518,"1",12,"Eroded"
"236",2,325,173,0.499007718,0.408051266,0.144449598,0.765709459781647,"0",12,"Non-eroded"
"237",2,317,151,0.5,3.071685325,1.029754486,0.610101580619812,"0",12,"Non-eroded"
"238",2,345,183,0.484799445,0.446740455,0.175817265,0.45388787984848,"0",12,"Non-eroded"
"239",1,270,131,0.468317347,3.204415866,1.25309927,0.573853731155396,"1",12,"Eroded"
"240",2,290,169,0.250153218,0.250372827,0.114058205,0.364604383707047,"0",12,"Non-eroded"
"241",1,283,148,0.499387255,2.516860292,1.25072231,0.172696620225906,"3",12,"Eroded"
"242",2,285,165,0.300000012,0.382497436,0.130808983,0.526326715946198,"0",12,"Non-eroded"
"243",1,263,106,0.499143207,1.787916767,0.5283566,0.169764675199986,"2",12,"Eroded"
"244",1,290,138,0.400000006,2.232559168,1.586502574,0.226423799991608,"2",12,"Eroded"
"245",2,290,169,0.457212408,0.252665343,0.117652653,0.404896110296249,"0",12,"Non-eroded"
"246",2,344,194,0.496310403,3.046789097,1.110354996,0.644242703914642,"0",12,"Non-eroded"
"247",2,327,179.5,0.533645667,3.234381844,1.090347809,0.592315316200256,"0",12,"Non-eroded"
"248",2,320,180,0.549399669,0.924462261,0.209806085,0.46921968460083,"0",12,"Non-eroded"
"249",2,320,180,0.549831093,0.509513933,0.153404456,0.580445140600204,"0",12,"Non-eroded"
"250",2,338,191,0.550000012,3.231441304,0.962465289,0.773480474948883,"1",12,"Eroded"
"251",1,282,195,0.550000012,0.465002751,0.147375422,0.304037630558014,"2",12,"Eroded"
"252",2,346,193,0.5,3.15907744,0.695625598,0.674829065799713,"2",12,"Eroded"
"253",2,344,194,0.532392788,2.423447706,1.541733749,0.674449890851974,"3",12,"Eroded"
"254",2,349,193,0.385546727,2.71998184,1.10347022,0.470007091760635,"2",12,"Eroded"
"255",1.5,294.5,189.5,0.550000012,0.451407682,0.153863863,0.417205035686493,"0",12,"Non-eroded"
"256",2,325,174,0.497669173,2.295606768,1.00454404,0.794336497783661,"1",12,"Eroded"
"257",2,330,178,0.550000012,2.423819725,0.705413528,0.597649812698364,"1",12,"Eroded"
"258",2,330,178,0.547319359,1.241307689,0.302970141,0.549131333827972,"0",12,"Non-eroded"
"259",2,325,174,0.475137022,2.308514946,1.552098292,0.580765545368195,"1",12,"Eroded"
"260",2,325,174,0.498446328,3.070479521,1.214835329,0.633812546730042,"1",12,"Eroded"
"261",2,309,173,0.49059159,2.212609718,1.570323048,0.757480546832084,"1",12,"Eroded"
"262",2,293,175,0.440979382,3.571192007,1.744511546,0.650894403457642,"3",12,"Eroded"
